id	본문	is_rule
1	금융규제 운영규정	0
2	[시행 2019	0
3	1	0
4	30	0
5	"] [국무총리훈령 제734호, 2019"	0
6	1	0
7	30	0
8	", 일부개정]"	0
9	"금융위원회(규제개혁법무담당관), 02-2100-2802"	0
10	제1장 총칙	0
11	제1조(목적) 이 훈령은 금융위원회 및 금융유관기관이 금융회사등에 대한 금융규제를 신설·강화하거나 집행할 때 합리성·투명성·책임성을 확보하도록 함으로써 금융산업에서 경쟁과 혁신을 촉진하는 데에 이바지함을 목적으로 한다	0
12	제2조(정의) 이 훈령에서 사용하는 용어의 뜻은 다음 각 호와 같다	0
13	1	0
14	금융회사등이란 다음 각 목의 자를 말한다	0
15	가	0
16	「은행법」에 따른 인가를 받아 설립된 은행(같은 법 제59조에 따라 은행으로 보는 자를 포함한다)	0
17	나	0
18	「자본시장과 금융투자업에 관한 법률」에 따른 금융투자업자	0
19	다	0
20	「보험업법」에 따른 보험회사(같은 법 제4조제6항에 따라 보험회사로 보는 자를 포함한다)	0
21	라	0
22	「상호저축은행법」에 따른 상호저축은행	0
23	마	0
24	「신용협동조합법」에 따른 신용협동조합	0
25	바	0
26	「여신전문금융업법」에 따른 여신전문금융회사	0
27	사	0
28	「금융지주회사법」에 따른 금융지주회사	0
29	아	0
30	"「농업협동조합법」에 따른 조합, 농협은행, 농협생명보험 및 농협손해보험"	0
31	자	0
32	「수산업협동조합법」에 따른 조합 및 수산업협동조합중앙회(신용사업 부문으로 한정한다)	0
33	차	0
34	가목부터 자목까지에 규정된 자 외의 자로서 관계 법령에 따라 금융위원회(그 소속기관을 포함한다	0
35	"이하 같다) 또는 「금융위원회의 설치 등에 관한 법률」에 따른 금융감독원(이하 ""금융감독원""이라 한다), 그 밖의 금융유관기관으로부터 검사 또는 조사를 받는 자"	0
36	카	0
37	그 밖에 금융 관련 법령의 적용을 받는 자	0
38	2	0
39	금융유관기관이란 다음 각 목의 법인·단체 또는 그 기관을 말한다	0
40	가	0
41	금융감독원	0
42	나	0
43	「예금자보호법」 에 따른 예금보험공사	0
44	다	0
45	「한국산업은행법」에 따른 한국산업은행	0
46	라	0
47	「자본시장과 금융투자업에 관한 법률」에 따른 한국거래소	0
48	마	0
49	「자본시장과 금융투자업에 관한 법률」에 따른 한국예탁결제원	0
50	바	0
51	「민법」 제32조에 따라 설립된 금융결제원	0
52	사	0
53	「신용보증기금법」에 따른 신용보증기금	0
54	아	0
55	「기술신용보증기금법」에 따른 기술신용보증기금	0
56	자	0
57	「한국주택금융공사법」에 따른 한국주택금융공사	0
58	차	0
59	「금융회사부실자산 등의 효율적 처리 및 한국자산관리공사의 설립에 관한 법률」에 따른 한국자산관리공사	0
60	카	0
61	"관계 법령에 따라 금융회사등을 감독하거나 검사, 그 밖에 이와 비슷한 행정조사(「행정조사기본법」에 따른 행정조사를 말한다"	0
62	이하 이 호에서 같다) 권한을 행사하거나 업무를 하는 법인·단체 또는 그 기관	0
63	타	0
64	"금융위원회나 가목부터 카목까지의 규정에 따른 법인·단체 또는 그 기관으로부터 금융회사등에 대한 감독, 검사, 그 밖에 이와 비슷한 행정조사에 관한 권한이나 업무를 위임·위탁받은 법인·단체 또는 그 기관"	0
65	파	0
66	"「자본시장과 금융투자업에 관한 법률」 제286조제1항제1호에 따른 자율규제업무 등 금융회사등을 회원으로 하면서 그 금융회사등 간의 합의에 따라 정관, 규칙 또는 규약 등을 정하고 집행하여 금융회사등을 규율하는 업무를 하는 법인 또는 단체"	0
67	3	0
68	"금융규제란 금융위원회 또는 금융유관기관이 금융회사등의 경영건전성을 확보하고 금융소비자를 보호하는 등 금융행정의 목적을 달성하기 위하여 법률상 금융회사등의 권리를 제한하거나 의무를 부과하는 것 또는 법령에서 주어진 권한 또는 기능에 근거하여 사실상 금융회사등의 영업 또는 업무 등에 영향력을 행사하는 것을 말하며, 다음 각 목과 같이 구분한다"	0
69	가	0
70	명시적 금융규제	0
71	"법령등(법률·대통령령·총리령, 그 위임을 받는 고시 등을 말한다"	0
72	이하 같다)에서 정하는 금융규제	0
73	나	0
74	비명시적 금융규제	0
75	법령등에서 정하지 아니한 금융규제로서 다음의 어느 하나에 해당하는 금융규제	0
76	1) 금융행정지도	0
77	"2) 금융유관기관의 업무규정, 지침, 업무방법서, 그 밖에 이와 비슷한 것"	0
78	4	0
79	금융행정지도란 금융위원회 또는 금융감독원이 금융회사등의 경영건전성을 확보하고 금융소비자를 보호하는 등 금융행정의 목적을 달성하기 위하여 금융회사등의 자발적인 협력에 기초하여 그 금융회사등에 일정한 행위를 하거나 하지 아니하여 줄 것을 요청하는 행위(조문의 형식으로 하는 행위 등 일반적이고 추상적인 형식으로 하는 행위를 포함한다)를 말한다	0
80	"다만, 다음 각 목의 어느 하나에 해당하는 행위는 제외한다"	0
81	가	0
82	감독행정작용	0
83	나	0
84	금융회사등의 신청 또는 질의 등에 따라 법령등에 대한 해석이나 그 해석에 따른 조치 여부 등에 대하여 회신하여 주는 행위	0
85	다	0
86	관계 법령에 따른 조치 등이 내려진 경우 그 사실을 알리는 행위 등 금융회사등에 새로이 그 권리를 제한하거나 의무를 부과하지 아니하는 행위	0
87	라	0
88	관계 법령에 따른 인가·허가·등록 등의 통보	0
89	마	0
90	금융 관련 분쟁의 조정	0
91	바	0
92	가목부터 마목까지에 규정된 행위 외의 행위로서 이와 비슷한 것	0
93	5	0
94	감독행정작용이란 금융위원회 또는 금융감독원이 금융회사등에 법령등을 지키도록 하기 위하여 직권으로 필요한 지침을 개별적이거나 구체적인 형식으로 제시하는 행위를 말한다	0
95	"제3조(적용범위) ① 명시적 금융규제, 금융행정지도, 감독행정작용, 그 밖의 금융규제의 원칙 및 절차 등에 관하여 다른 관계 법령등에 특별한 규정이 있거나 다른 법령등과 상충되는 경우를 제외하고는 이 훈령에서 정하는 바에 따른다"	0
96	② 이 훈령은 「금융위원회의 설치 등에 관한 법률」 제14조에 따른 조치를 하는 경우에 대해서는 적용하지 아니한다	0
97	제2장 명시적 금융규제의 원칙 및 절차	0
98	제4조(명시적 금융규제의 원칙) ① 명시적 금융규제는 그 목적 달성에 필요한 최소한의 범위에서 합리성·투명성·책임성을 확보할 수 있도록 설정되어야 한다	0
99	② 명시적 금융규제를 신설하거나 강화하려면 다음 각 호의 사항을 검토하여야 한다	0
100	1	0
